0.5,230.531,,,,,,,,
1,170.653,,,,,,,,
1.5,128.547,,,,,,,,
2,98.745,,,,,,,,
2.5,76.125,,,,,,,, 
3,60.426,,,,,,,,
3.5,50.723,,,,,,,,
4,40.538,,,,,,,,
4.5,32.942,,,,,,,,
5,28.145,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
