0,0.00003,0,0.56373
0.1277831,0.00013,0.127783,0.16099
0.2367398,0.00017,0.23674,0.02075
0.3417951,0.00013,0.341795,0.00003
0.4,0.00045,0.4,0.00006
0.519687,0.00055,0.519687,0.02075
0.6388188,0.00083,0.638819,0.02075
0.7400441,0.0011,0.740044,0.02075
0.8,0.00191,0.8,0.56373
0.9014272,0.00196,0.901427,0.16099
1.004213,0.00055,1.004213,0.02075
1.125368,0.00003,1.125368,0.00003
1.2,0.00013,1.2,0.00006
1.327666,0.00017,1.327666,0.00031
1.6,0.00013,1.6,0.00013
1.702894,0.00045,1.702894,0.00041
1.816,0.00055,1.816,0.00012
1.935536,0.00083,1.935536,0.00008
2,0.0011,2,0.00062
2.131753,0.00191,2.131753,0.00075
2.266446,0.00196,2.266446,0.00201
2.37757,0.00243,2.37757,0.0022
2.4,0.00291,2.4,0.00165
2.501537,0.00275,2.501537,0.00213
2.656855,0.00233,2.656855,0.002
2.788033,0.00222,2.788033,0.00182
2.8,0.00263,2.8,0.00135
2.900937,0.11436,2.900937,0.01035
3.003162,0.11394,3.003162,0.01037
3.113216,0.11366,3.113216,0.01025
3.2,0.11373,3.2,0.01034
3.33299,0.11404,3.33299,0.01075
3.462312,0.11354,3.462312,0.01043
3.6,0.11366,3.6,0.01056
3.71774,0.11338,3.71774,0.01034
4,0.11308,4,0.01031
4.13558,0.11273,4.13558,0.01029
4.4,0.11235,4.4,0.01063
4.547199,0.11224,4.547199,0.01046
4.710844,0.11216,4.710844,0.01039
4.8,0.112,4.8,0.01027
4.915098,0.11201,4.915098,0.01041
5.016383,0.11008,5.016383,0.01289
5.121034,0.02477,5.121034,0.00305
5.2,0.00557,5.2,0.0349
5.300101,0.00624,5.300101,0.01309
5.4049,0.00566,5.4049,0.01735
5.505587,0.0079,5.505587,0.02908
5.6,0.01648,5.6,0.01542
5.704718,0.01759,5.704718,0.00995
5.810728,0.02086,5.810728,0.02245
5.913255,0.01735,5.913255,0.04593
6,0.01285,6,0.07444
6.105389,0.0028,6.105389,0.13536
6.208089,0.00376,6.208089,0.13387
6.315238,0.00422,6.315238,0.13326
6.4,0.15695,6.4,0.15497
6.504654,0.02471,6.504654,0.2105
6.608709,0.0085,6.608709,0.18003
6.713184,0.00556,6.713184,0.16686
6.8,0.00133,6.8,0.17263
6.901971,0.00119,6.901971,0.16397
7.019783,0.02184,7.019783,0.12153
7.13246,0.018,7.13246,0.12001
7.2,0.0197,7.2,0.12005
7.302702,0.01548,7.302702,0.11986
7.411015,0.02056,7.411015,0.12013
7.518783,0.01986,7.518783,0.12009
7.6,0.02073,7.6,0.12027
7.708158,0.01798,7.708158,0.1202
7.820337,0.0217,7.820337,0.12021
7.940956,0.01958,7.940956,0.12011
8,0.02084,8,0.12005
8.125183,0.02069,8.125183,0.12037
8.232317,0.02113,8.232317,0.12014
8.338731,0.02246,8.338731,0.11951
8.4,0.02072,8.4,0.12005
8.508253,0.01918,8.508253,0.1201
8.635188,0.02127,8.635188,0.12
8.736144,0.02217,8.736144,0.11985
8.8,0.02146,8.8,0.12003
8.906354,0.02163,8.906354,0.11993
9.018222,0.02096,9.018222,0.12001
9.118854,0.02154,9.118854,0.11998
9.2,0.01421,9.2,0.11932
9.313133,0.01767,9.313133,0.11972
9.415807,0.02122,9.415807,0.12001
9.516377,0.02123,9.516377,0.11986
9.6,0.02105,9.6,0.11994
9.704122,0.02105,9.704122,0.11998
9.830321,0.01912,9.830321,0.11994
9.933596,0.02115,9.933596,0.11986
10,0.02274,10,0.11983
10.11823,0.02282,10.11823,0.11292
10.22415,0.02126,10.22415,0.11219
10.32659,0.0251,10.32659,0.11175
10.4,0.02295,10.4,0.11183
10.50042,0.02166,10.50042,0.11152
10.60381,0.0268,10.60381,0.1115
10.71549,0.0251,10.71549,0.11105
10.8,0.02438,10.8,0.11081
10.90841,0.02449,10.90841,0.11114
11.03027,0.02479,11.03027,0.11095
11.14666,0.02676,11.14666,0.11115
11.2,0.02394,11.2,0.11107
11.34087,0.02155,11.34087,0.11143
11.4593,0.02537,11.4593,0.11191
11.57505,0.01869,11.57505,0.11191
11.6,0.02377,11.6,0.11206
11.70588,0.02485,11.70588,0.11228
11.80904,0.02463,11.80904,0.11276
11.90992,0.0245,11.90992,0.1125
12,0.03122,12,0.1128
12.1003,0.02576,12.1003,0.1123
12.22889,0.02649,12.22889,0.11089
12.33444,0.02518,12.33444,0.11172
12.4,0.03033,12.4,0.11255
12.50915,0.02583,12.50915,0.11169
12.61984,0.02247,12.61984,0.11106
12.72567,0.02678,12.72567,0.11119
