0,2.3189,2.5708,0.9706,0.7509
0.1152245,-0.2317,-0.0444,0.0922,-0.1895
0.3531888,-0.2809,-0.1386,0.1128,-0.212
0.4,-0.282,-0.1377,0.1132,-0.2098
0.5139836,-0.2836,-0.1384,0.1134,-0.2087
0.6246483,-0.2854,-0.1388,0.1135,-0.2071
0.7306979,-0.2856,-0.1384,0.1142,-0.2059
0.8,-0.2847,-0.1386,0.115,-0.2061
0.9187298,-0.2845,-0.1393,0.1154,-0.2065
1.028431,-0.2506,-0.1569,0.0969,-0.187
1.177094,3.0758,-0.2351,0.0431,-0.1319
1.2,4.0863,-0.2459,0.0352,-0.122
1.312069,11.3261,-0.3053,-0.0068,-0.0832
1.420049,22.3303,-0.3607,-0.0456,-0.0449
1.537384,38.7259,-0.419,-0.087,-0.003
1.6,48.9185,-0.4522,-0.1101,0.0158
1.791079,80.0419,-0.5418,-0.1748,0.087
1.895551,91.3324,-0.5931,-0.2112,0.1242
1.997978,94.2944,-0.644,-0.2476,0.1611
2,94.2604,-0.645,-0.2484,0.1617
2.173024,78.8969,-0.7332,-0.3116,0.2283
2.284712,59.8614,-0.7882,-0.3552,0.274
2.4,39.0919,-0.8464,-0.4007,0.3205
2.535271,19.9075,-0.9132,-0.453,0.3766
2.642225,10.6169,-0.9625,-0.4941,0.4225
2.764305,5.0853,-1.0256,-0.539,0.4664
2.8,4.1962,-1.0374,-0.5543,0.4838
2.921798,3.0242,-1.0948,-0.5959,0.5428
3.051667,2.3612,-1.1428,-0.6451,0.5914
3.2,1.3495,2.9463,-0.5863,0.5192
3.313795,1.2697,11.3904,-0.5502,0.4831
3.421212,1.1973,23.8917,-0.5179,0.4495
3.528434,1.1258,40.4861,-0.4857,0.4158
3.6,1.0725,53.0708,-0.4695,0.3918
3.738359,0.9892,76.7599,-0.4252,0.3491
3.859628,0.9095,90.2842,-0.3891,0.3109
3.961787,0.8409,91.8246,-0.3576,0.2782
4,0.8152,89.7689,-0.3455,0.2649
4.112073,0.7389,76.4263,-0.3087,0.2258
4.4,0.5385,24.561,-0.207,0.1237
4.623526,0.3887,4.4898,-0.1311,0.0438
4.75218,0.3064,1.1169,-0.0893,-0.0019
4.8,0.2745,0.8128,-0.0732,-0.0165
4.902064,0.2089,0.6735,-0.0397,-0.0538
5.017651,0.1303,0.5182,-0.0053,-0.0931
5.118988,-0.0309,0.187,0.0663,-0.1846
